EV Charging Scenarios (MW),,,,,
Hour of Day,Home - 1%,Home - 5%,Home - 10%,Home - 20%,Home - 30%
1,8.67566641,43.67378526,87.42143383,174.916731,262.4120281
2,3.253835285,23.88179039,49.66673426,101.236622,152.8065098
3,1.686738513,13.69803095,28.7121465,58.7403776,88.7686087
4,0.957319695,7.237998883,15.08884787,30.79054584,46.49224381
5,1.117531588,4.103647305,7.83629195,15.30158124,22.76687053
6,1.194533465,3.353543468,6.052305971,11.44983098,16.84735598
7,0.328194165,3.898846611,8.362162168,17.28879328,26.2154244
8,0.82271973,4.622063602,9.371243443,18.86960312,28.36796281
9,1.491122106,4.680199171,8.666545501,16.63923816,24.61193082
10,1.254674869,5.124894403,9.96266882,19.63821765,29.31376649
11,1.798700054,9.449468893,19.01292994,38.13985204,57.26677413
12,2.635642457,14.31661104,28.91782176,58.12024322,87.32266467
13,6.288739074,19.66496632,36.38525037,69.82581848,103.2663866
14,5.936742155,25.5948353,50.16745173,99.31268458,148.4579174
15,7.712331472,55.46835572,115.163386,234.5534467,353.9435073
16,29.67243487,124.8036768,243.7177291,481.5458339,719.3739386
17,41.63281503,206.6765822,412.9812913,825.5907093,1238.200127
18,39.30475844,225.9506062,459.2579159,925.8725354,1392.487155
19,34.29202226,196.0592454,398.2682742,802.686332,1207.10439
20,33.72949304,176.3939276,354.7244708,711.3855573,1068.046644
21,31.670485,157.3052518,314.3487103,628.4356272,942.5225442
22,40.91472737,140.9090839,265.9020295,515.8879208,765.8738121
23,31.41119211,108.1711251,204.1210414,396.0208739,587.9207064
24,17.6343421,74.48471744,145.5476866,287.673625,429.7995633
