date,hydro_daily_1 (MW),hydro_daily_2 (MW),hydro_daily_3 (MW),hydro_daily_4 (MW),hydro_daily_5 (MW)
day_1,274.896,2462.112,11091.456,19864.224,15226.848
day_2,274.896,2462.112,11091.456,19864.224,15226.848
day_3,274.896,2462.112,11091.456,19864.224,15226.848
day_4,274.896,2462.112,11091.456,19864.224,15226.848
day_5,274.896,2462.112,11091.456,19864.224,15226.848
day_6,274.896,2462.112,11091.456,19864.224,15226.848
day_7,274.896,2462.112,11091.456,19864.224,15226.848
day_8,274.896,2462.112,11091.456,19864.224,15226.848
day_9,274.896,2462.112,11091.456,19864.224,15226.848
day_10,274.896,2462.112,11091.456,19864.224,15226.848
day_11,274.896,2462.112,11091.456,19864.224,15226.848
day_12,274.896,2462.112,11091.456,19864.224,15226.848
day_13,274.896,2462.112,11091.456,19864.224,15226.848
day_14,274.896,2462.112,11091.456,19864.224,15226.848
day_15,274.896,2462.112,11091.456,19864.224,15226.848
day_16,274.896,2462.112,11091.456,19864.224,15226.848
day_17,274.896,2462.112,11091.456,19864.224,15226.848
day_18,274.896,2462.112,11091.456,19864.224,15226.848
day_19,274.896,2462.112,11091.456,19864.224,15226.848
day_20,274.896,2462.112,11091.456,19864.224,15226.848
day_21,274.896,2462.112,11091.456,19864.224,15226.848
day_22,274.896,2462.112,11091.456,19864.224,15226.848
day_23,274.896,2462.112,11091.456,19864.224,15226.848
day_24,274.896,2462.112,11091.456,19864.224,15226.848
day_25,274.896,2462.112,11091.456,19864.224,15226.848
day_26,274.896,2462.112,11091.456,19864.224,15226.848
day_27,274.896,2462.112,11091.456,19864.224,15226.848
day_28,274.896,2462.112,11091.456,19864.224,15226.848
day_29,274.896,2462.112,11091.456,19864.224,15226.848
day_30,274.896,2462.112,11091.456,19864.224,15226.848
day_31,274.896,2462.112,11091.456,19864.224,15226.848
day_32,286.488,2565.936,11559.168,20701.872,15868.944
day_33,286.488,2565.936,11559.168,20701.872,15868.944
day_34,286.488,2565.936,11559.168,20701.872,15868.944
day_35,286.488,2565.936,11559.168,20701.872,15868.944
day_36,286.488,2565.936,11559.168,20701.872,15868.944
day_37,286.488,2565.936,11559.168,20701.872,15868.944
day_38,286.488,2565.936,11559.168,20701.872,15868.944
day_39,286.488,2565.936,11559.168,20701.872,15868.944
day_40,286.488,2565.936,11559.168,20701.872,15868.944
day_41,286.488,2565.936,11559.168,20701.872,15868.944
day_42,286.488,2565.936,11559.168,20701.872,15868.944
day_43,286.488,2565.936,11559.168,20701.872,15868.944
day_44,286.488,2565.936,11559.168,20701.872,15868.944
day_45,286.488,2565.936,11559.168,20701.872,15868.944
day_46,286.488,2565.936,11559.168,20701.872,15868.944
day_47,286.488,2565.936,11559.168,20701.872,15868.944
day_48,286.488,2565.936,11559.168,20701.872,15868.944
day_49,286.488,2565.936,11559.168,20701.872,15868.944
day_50,286.488,2565.936,11559.168,20701.872,15868.944
day_51,286.488,2565.936,11559.168,20701.872,15868.944
day_52,286.488,2565.936,11559.168,20701.872,15868.944
day_53,286.488,2565.936,11559.168,20701.872,15868.944
day_54,286.488,2565.936,11559.168,20701.872,15868.944
day_55,286.488,2565.936,11559.168,20701.872,15868.944
day_56,286.488,2565.936,11559.168,20701.872,15868.944
day_57,286.488,2565.936,11559.168,20701.872,15868.944
day_58,286.488,2565.936,11559.168,20701.872,15868.944
day_59,286.488,2565.936,11559.168,20701.872,15868.944
day_60,247.848,2219.856,10000.128,17909.712,13728.624
day_61,247.848,2219.856,10000.128,17909.712,13728.624
day_62,247.848,2219.856,10000.128,17909.712,13728.624
day_63,247.848,2219.856,10000.128,17909.712,13728.624
day_64,247.848,2219.856,10000.128,17909.712,13728.624
day_65,247.848,2219.856,10000.128,17909.712,13728.624
day_66,247.848,2219.856,10000.128,17909.712,13728.624
day_67,247.848,2219.856,10000.128,17909.712,13728.624
