date,hydro_daily_1 (MW),hydro_daily_2 (MW),hydro_daily_3 (MW),hydro_daily_4 (MW),hydro_daily_5 (MW)
day_68,247.848,2219.856,10000.128,17909.712,13728.624
day_69,247.848,2219.856,10000.128,17909.712,13728.624
day_70,247.848,2219.856,10000.128,17909.712,13728.624
day_71,247.848,2219.856,10000.128,17909.712,13728.624
day_72,247.848,2219.856,10000.128,17909.712,13728.624
day_73,247.848,2219.856,10000.128,17909.712,13728.624
day_74,247.848,2219.856,10000.128,17909.712,13728.624
day_75,247.848,2219.856,10000.128,17909.712,13728.624
day_76,247.848,2219.856,10000.128,17909.712,13728.624
day_77,247.848,2219.856,10000.128,17909.712,13728.624
day_78,247.848,2219.856,10000.128,17909.712,13728.624
day_79,247.848,2219.856,10000.128,17909.712,13728.624
day_80,247.848,2219.856,10000.128,17909.712,13728.624
day_81,247.848,2219.856,10000.128,17909.712,13728.624
day_82,247.848,2219.856,10000.128,17909.712,13728.624
day_83,247.848,2219.856,10000.128,17909.712,13728.624
day_84,247.848,2219.856,10000.128,17909.712,13728.624
day_85,247.848,2219.856,10000.128,17909.712,13728.624
day_86,247.848,2219.856,10000.128,17909.712,13728.624
day_87,247.848,2219.856,10000.128,17909.712,13728.624
day_88,247.848,2219.856,10000.128,17909.712,13728.624
day_89,247.848,2219.856,10000.128,17909.712,13728.624
day_90,247.848,2219.856,10000.128,17909.712,13728.624
day_91,264.408,2368.176,10668.288,19106.352,14645.904
day_92,264.408,2368.176,10668.288,19106.352,14645.904
day_93,264.408,2368.176,10668.288,19106.352,14645.904
day_94,264.408,2368.176,10668.288,19106.352,14645.904
day_95,264.408,2368.176,10668.288,19106.352,14645.904
day_96,264.408,2368.176,10668.288,19106.352,14645.904
day_97,264.408,2368.176,10668.288,19106.352,14645.904
day_98,264.408,2368.176,10668.288,19106.352,14645.904
day_99,264.408,2368.176,10668.288,19106.352,14645.904
day_100,264.408,2368.176,10668.288,19106.352,14645.904
day_101,264.408,2368.176,10668.288,19106.352,14645.904
day_102,264.408,2368.176,10668.288,19106.352,14645.904
day_103,264.408,2368.176,10668.288,19106.352,14645.904
day_104,264.408,2368.176,10668.288,19106.352,14645.904
day_105,264.408,2368.176,10668.288,19106.352,14645.904
day_106,264.408,2368.176,10668.288,19106.352,14645.904
day_107,264.408,2368.176,10668.288,19106.352,14645.904
day_108,264.408,2368.176,10668.288,19106.352,14645.904
day_109,264.408,2368.176,10668.288,19106.352,14645.904
day_110,264.408,2368.176,10668.288,19106.352,14645.904
day_111,264.408,2368.176,10668.288,19106.352,14645.904
day_112,264.408,2368.176,10668.288,19106.352,14645.904
day_113,264.408,2368.176,10668.288,19106.352,14645.904
day_114,264.408,2368.176,10668.288,19106.352,14645.904
day_115,264.408,2368.176,10668.288,19106.352,14645.904
day_116,264.408,2368.176,10668.288,19106.352,14645.904
day_117,264.408,2368.176,10668.288,19106.352,14645.904
day_118,264.408,2368.176,10668.288,19106.352,14645.904
day_119,264.408,2368.176,10668.288,19106.352,14645.904
day_120,264.408,2368.176,10668.288,19106.352,14645.904
day_121,294.768,2640.096,11893.248,21300.192,16327.584
day_122,294.768,2640.096,11893.248,21300.192,16327.584
day_123,294.768,2640.096,11893.248,21300.192,16327.584
day_124,294.768,2640.096,11893.248,21300.192,16327.584
day_125,294.768,2640.096,11893.248,21300.192,16327.584
day_126,294.768,2640.096,11893.248,21300.192,16327.584
day_127,294.768,2640.096,11893.248,21300.192,16327.584
day_128,294.768,2640.096,11893.248,21300.192,16327.584
day_129,294.768,2640.096,11893.248,21300.192,16327.584
day_130,294.768,2640.096,11893.248,21300.192,16327.584
day_131,294.768,2640.096,11893.248,21300.192,16327.584
day_132,294.768,2640.096,11893.248,21300.192,16327.584
day_133,294.768,2640.096,11893.248,21300.192,16327.584
day_134,294.768,2640.096,11893.248,21300.192,16327.584
day_135,294.768,2640.096,11893.248,21300.192,16327.584
day_136,294.768,2640.096,11893.248,21300.192,16327.584
day_137,294.768,2640.096,11893.248,21300.192,16327.584
day_138,294.768,2640.096,11893.248,21300.192,16327.584
day_139,294.768,2640.096,11893.248,21300.192,16327.584
day_140,294.768,2640.096,11893.248,21300.192,16327.584
day_141,294.768,2640.096,11893.248,21300.192,16327.584
day_142,294.768,2640.096,11893.248,21300.192,16327.584
day_143,294.768,2640.096,11893.248,21300.192,16327.584
day_144,294.768,2640.096,11893.248,21300.192,16327.584
day_145,294.768,2640.096,11893.248,21300.192,16327.584
day_146,294.768,2640.096,11893.248,21300.192,16327.584
day_147,294.768,2640.096,11893.248,21300.192,16327.584
day_148,294.768,2640.096,11893.248,21300.192,16327.584
day_149,294.768,2640.096,11893.248,21300.192,16327.584
day_150,294.768,2640.096,11893.248,21300.192,16327.584
day_151,294.768,2640.096,11893.248,21300.192,16327.584
day_152,273.792,2452.224,11046.912,19784.448,15165.696
day_153,273.792,2452.224,11046.912,19784.448,15165.696
day_154,273.792,2452.224,11046.912,19784.448,15165.696
day_155,273.792,2452.224,11046.912,19784.448,15165.696
day_156,273.792,2452.224,11046.912,19784.448,15165.696
day_157,273.792,2452.224,11046.912,19784.448,15165.696
day_158,273.792,2452.224,11046.912,19784.448,15165.696
day_159,273.792,2452.224,11046.912,19784.448,15165.696
day_160,273.792,2452.224,11046.912,19784.448,15165.696
day_161,273.792,2452.224,11046.912,19784.448,15165.696
day_162,273.792,2452.224,11046.912,19784.448,15165.696
day_163,273.792,2452.224,11046.912,19784.448,15165.696
day_164,273.792,2452.224,11046.912,19784.448,15165.696
day_165,273.792,2452.224,11046.912,19784.448,15165.696
day_166,273.792,2452.224,11046.912,19784.448,15165.696
day_167,273.792,2452.224,11046.912,19784.448,15165.696
day_168,273.792,2452.224,11046.912,19784.448,15165.696
day_169,273.792,2452.224,11046.912,19784.448,15165.696
day_170,273.792,2452.224,11046.912,19784.448,15165.696
day_171,273.792,2452.224,11046.912,19784.448,15165.696
day_172,273.792,2452.224,11046.912,19784.448,15165.696
day_173,273.792,2452.224,11046.912,19784.448,15165.696
day_174,273.792,2452.224,11046.912,19784.448,15165.696
day_175,273.792,2452.224,11046.912,19784.448,15165.696
day_176,273.792,2452.224,11046.912,19784.448,15165.696
day_177,273.792,2452.224,11046.912,19784.448,15165.696
day_178,273.792,2452.224,11046.912,19784.448,15165.696
day_179,273.792,2452.224,11046.912,19784.448,15165.696
day_180,273.792,2452.224,11046.912,19784.448,15165.696
day_181,273.792,2452.224,11046.912,19784.448,15165.696
day_182,254.472,2279.184,10267.392,18388.368,14095.536
day_183,254.472,2279.184,10267.392,18388.368,14095.536
day_184,254.472,2279.184,10267.392,18388.368,14095.536
day_185,254.472,2279.184,10267.392,18388.368,14095.536
day_186,254.472,2279.184,10267.392,18388.368,14095.536
day_187,254.472,2279.184,10267.392,18388.368,14095.536
day_188,254.472,2279.184,10267.392,18388.368,14095.536
day_189,254.472,2279.184,10267.392,18388.368,14095.536
day_190,254.472,2279.184,10267.392,18388.368,14095.536
day_191,254.472,2279.184,10267.392,18388.368,14095.536
day_192,254.472,2279.184,10267.392,18388.368,14095.536
day_193,254.472,2279.184,10267.392,18388.368,14095.536
day_194,254.472,2279.184,10267.392,18388.368,14095.536
day_195,254.472,2279.184,10267.392,18388.368,14095.536
day_196,254.472,2279.184,10267.392,18388.368,14095.536
day_197,254.472,2279.184,10267.392,18388.368,14095.536
day_198,254.472,2279.184,10267.392,18388.368,14095.536
day_199,254.472,2279.184,10267.392,18388.368,14095.536
day_200,254.472,2279.184,10267.392,18388.368,14095.536
day_201,254.472,2279.184,10267.392,18388.368,14095.536
day_202,254.472,2279.184,10267.392,18388.368,14095.536
day_203,254.472,2279.184,10267.392,18388.368,14095.536
day_204,254.472,2279.184,10267.392,18388.368,14095.536
day_205,254.472,2279.184,10267.392,18388.368,14095.536
day_206,254.472,2279.184,10267.392,18388.368,14095.536
day_207,254.472,2279.184,10267.392,18388.368,14095.536
day_208,254.472,2279.184,10267.392,18388.368,14095.536
day_209,254.472,2279.184,10267.392,18388.368,14095.536
day_210,254.472,2279.184,10267.392,18388.368,14095.536
day_211,254.472,2279.184,10267.392,18388.368,14095.536
day_212,254.472,2279.184,10267.392,18388.368,14095.536
day_213,243.984,2185.248,9844.224,17630.496,13514.592
day_214,243.984,2185.248,9844.224,17630.496,13514.592
day_215,243.984,2185.248,9844.224,17630.496,13514.592
day_216,243.984,2185.248,9844.224,17630.496,13514.592
day_217,243.984,2185.248,9844.224,17630.496,13514.592
day_218,243.984,2185.248,9844.224,17630.496,13514.592
day_219,243.984,2185.248,9844.224,17630.496,13514.592
day_220,243.984,2185.248,9844.224,17630.496,13514.592
day_221,243.984,2185.248,9844.224,17630.496,13514.592
day_222,243.984,2185.248,9844.224,17630.496,13514.592
day_223,243.984,2185.248,9844.224,17630.496,13514.592
day_224,243.984,2185.248,9844.224,17630.496,13514.592
day_225,243.984,2185.248,9844.224,17630.496,13514.592
day_226,243.984,2185.248,9844.224,17630.496,13514.592
day_227,243.984,2185.248,9844.224,17630.496,13514.592
day_228,243.984,2185.248,9844.224,17630.496,13514.592
day_229,243.984,2185.248,9844.224,17630.496,13514.592
day_230,243.984,2185.248,9844.224,17630.496,13514.592
day_231,243.984,2185.248,9844.224,17630.496,13514.592
day_232,243.984,2185.248,9844.224,17630.496,13514.592
day_233,243.984,2185.248,9844.224,17630.496,13514.592
day_234,243.984,2185.248,9844.224,17630.496,13514.592
day_235,243.984,2185.248,9844.224,17630.496,13514.592
day_236,243.984,2185.248,9844.224,17630.496,13514.592
day_237,243.984,2185.248,9844.224,17630.496,13514.592
day_238,243.984,2185.248,9844.224,17630.496,13514.592
day_239,243.984,2185.248,9844.224,17630.496,13514.592
day_240,243.984,2185.248,9844.224,17630.496,13514.592
day_241,243.984,2185.248,9844.224,17630.496,13514.592
day_242,243.984,2185.248,9844.224,17630.496,13514.592
day_243,243.984,2185.248,9844.224,17630.496,13514.592
day_244,258.888,2318.736,10445.568,18707.472,14340.144
day_245,258.888,2318.736,10445.568,18707.472,14340.144
day_246,258.888,2318.736,10445.568,18707.472,14340.144
day_247,258.888,2318.736,10445.568,18707.472,14340.144
day_248,258.888,2318.736,10445.568,18707.472,14340.144
day_249,258.888,2318.736,10445.568,18707.472,14340.144
day_250,258.888,2318.736,10445.568,18707.472,14340.144
day_251,258.888,2318.736,10445.568,18707.472,14340.144
day_252,258.888,2318.736,10445.568,18707.472,14340.144
day_253,258.888,2318.736,10445.568,18707.472,14340.144
day_254,258.888,2318.736,10445.568,18707.472,14340.144
day_255,258.888,2318.736,10445.568,18707.472,14340.144
day_256,258.888,2318.736,10445.568,18707.472,14340.144
day_257,258.888,2318.736,10445.568,18707.472,14340.144
day_258,258.888,2318.736,10445.568,18707.472,14340.144
day_259,258.888,2318.736,10445.568,18707.472,14340.144
day_260,258.888,2318.736,10445.568,18707.472,14340.144
day_261,258.888,2318.736,10445.568,18707.472,14340.144
day_262,258.888,2318.736,10445.568,18707.472,14340.144
day_263,258.888,2318.736,10445.568,18707.472,14340.144
day_264,258.888,2318.736,10445.568,18707.472,14340.144
day_265,258.888,2318.736,10445.568,18707.472,14340.144
day_266,258.888,2318.736,10445.568,18707.472,14340.144
day_267,258.888,2318.736,10445.568,18707.472,14340.144
day_268,258.888,2318.736,10445.568,18707.472,14340.144
day_269,258.888,2318.736,10445.568,18707.472,14340.144
day_270,258.888,2318.736,10445.568,18707.472,14340.144
day_271,258.888,2318.736,10445.568,18707.472,14340.144
day_272,258.888,2318.736,10445.568,18707.472,14340.144
day_273,258.888,2318.736,10445.568,18707.472,14340.144
day_274,247.848,2219.856,10000.128,17909.712,13728.624
day_275,247.848,2219.856,10000.128,17909.712,13728.624
day_276,247.848,2219.856,10000.128,17909.712,13728.624
day_277,247.848,2219.856,10000.128,17909.712,13728.624
day_278,247.848,2219.856,10000.128,17909.712,13728.624
day_279,247.848,2219.856,10000.128,17909.712,13728.624
day_280,247.848,2219.856,10000.128,17909.712,13728.624
day_281,247.848,2219.856,10000.128,17909.712,13728.624
day_282,247.848,2219.856,10000.128,17909.712,13728.624
day_283,247.848,2219.856,10000.128,17909.712,13728.624
day_284,247.848,2219.856,10000.128,17909.712,13728.624
day_285,247.848,2219.856,10000.128,17909.712,13728.624
day_286,247.848,2219.856,10000.128,17909.712,13728.624
day_287,247.848,2219.856,10000.128,17909.712,13728.624
day_288,247.848,2219.856,10000.128,17909.712,13728.624
day_289,247.848,2219.856,10000.128,17909.712,13728.624
day_290,247.848,2219.856,10000.128,17909.712,13728.624
day_291,247.848,2219.856,10000.128,17909.712,13728.624
day_292,247.848,2219.856,10000.128,17909.712,13728.624
day_293,247.848,2219.856,10000.128,17909.712,13728.624
day_294,247.848,2219.856,10000.128,17909.712,13728.624
day_295,247.848,2219.856,10000.128,17909.712,13728.624
day_296,247.848,2219.856,10000.128,17909.712,13728.624
day_297,247.848,2219.856,10000.128,17909.712,13728.624
day_298,247.848,2219.856,10000.128,17909.712,13728.624
day_299,247.848,2219.856,10000.128,17909.712,13728.624
day_300,247.848,2219.856,10000.128,17909.712,13728.624
day_301,247.848,2219.856,10000.128,17909.712,13728.624
day_302,247.848,2219.856,10000.128,17909.712,13728.624
day_303,247.848,2219.856,10000.128,17909.712,13728.624
day_304,247.848,2219.856,10000.128,17909.712,13728.624
day_305,271.032,2427.504,10935.552,19585.008,15012.816
day_306,271.032,2427.504,10935.552,19585.008,15012.816
day_307,271.032,2427.504,10935.552,19585.008,15012.816
day_308,271.032,2427.504,10935.552,19585.008,15012.816
day_309,271.032,2427.504,10935.552,19585.008,15012.816
day_310,271.032,2427.504,10935.552,19585.008,15012.816
day_311,271.032,2427.504,10935.552,19585.008,15012.816
day_312,271.032,2427.504,10935.552,19585.008,15012.816
day_313,271.032,2427.504,10935.552,19585.008,15012.816
day_314,271.032,2427.504,10935.552,19585.008,15012.816
day_315,271.032,2427.504,10935.552,19585.008,15012.816
day_316,271.032,2427.504,10935.552,19585.008,15012.816
day_317,271.032,2427.504,10935.552,19585.008,15012.816
day_318,271.032,2427.504,10935.552,19585.008,15012.816
day_319,271.032,2427.504,10935.552,19585.008,15012.816
day_320,271.032,2427.504,10935.552,19585.008,15012.816
day_321,271.032,2427.504,10935.552,19585.008,15012.816
day_322,271.032,2427.504,10935.552,19585.008,15012.816
day_323,271.032,2427.504,10935.552,19585.008,15012.816
day_324,271.032,2427.504,10935.552,19585.008,15012.816
day_325,271.032,2427.504,10935.552,19585.008,15012.816
day_326,271.032,2427.504,10935.552,19585.008,15012.816
day_327,271.032,2427.504,10935.552,19585.008,15012.816
day_328,271.032,2427.504,10935.552,19585.008,15012.816
day_329,271.032,2427.504,10935.552,19585.008,15012.816
day_330,271.032,2427.504,10935.552,19585.008,15012.816
day_331,271.032,2427.504,10935.552,19585.008,15012.816
day_332,271.032,2427.504,10935.552,19585.008,15012.816
day_333,271.032,2427.504,10935.552,19585.008,15012.816
day_334,271.032,2427.504,10935.552,19585.008,15012.816
day_335,290.904,2605.488,11737.344,21020.976,16113.552
day_336,290.904,2605.488,11737.344,21020.976,16113.552
day_337,290.904,2605.488,11737.344,21020.976,16113.552
day_338,290.904,2605.488,11737.344,21020.976,16113.552
day_339,290.904,2605.488,11737.344,21020.976,16113.552
day_340,290.904,2605.488,11737.344,21020.976,16113.552
day_341,290.904,2605.488,11737.344,21020.976,16113.552
day_342,290.904,2605.488,11737.344,21020.976,16113.552
day_343,290.904,2605.488,11737.344,21020.976,16113.552
day_344,290.904,2605.488,11737.344,21020.976,16113.552
day_345,290.904,2605.488,11737.344,21020.976,16113.552
day_346,290.904,2605.488,11737.344,21020.976,16113.552
day_347,290.904,2605.488,11737.344,21020.976,16113.552
day_348,290.904,2605.488,11737.344,21020.976,16113.552
day_349,290.904,2605.488,11737.344,21020.976,16113.552
day_350,290.904,2605.488,11737.344,21020.976,16113.552
day_351,290.904,2605.488,11737.344,21020.976,16113.552
day_352,290.904,2605.488,11737.344,21020.976,16113.552
day_353,290.904,2605.488,11737.344,21020.976,16113.552
day_354,290.904,2605.488,11737.344,21020.976,16113.552
day_355,290.904,2605.488,11737.344,21020.976,16113.552
day_356,290.904,2605.488,11737.344,21020.976,16113.552
day_357,290.904,2605.488,11737.344,21020.976,16113.552
day_358,290.904,2605.488,11737.344,21020.976,16113.552
day_359,290.904,2605.488,11737.344,21020.976,16113.552
day_360,290.904,2605.488,11737.344,21020.976,16113.552
day_361,290.904,2605.488,11737.344,21020.976,16113.552
day_362,290.904,2605.488,11737.344,21020.976,16113.552
day_363,290.904,2605.488,11737.344,21020.976,16113.552
day_364,290.904,2605.488,11737.344,21020.976,16113.552
day_365,290.904,2605.488,11737.344,21020.976,16113.552
