date,importexport_1 (MW),importexport_2 (MW),importexport_3 (MW),importexport_4 (MW),importexport_5 (MW)
1/1/2012 0:00,-377,-1688,-90,-16,-35
1/1/2012 1:00,-379,-1680,-15,20,193
1/1/2012 2:00,-392,-1690,-36,26,480
1/1/2012 3:00,-405,-1715,-36,36,466
1/1/2012 4:00,-352,-1317,-36,-6,786
1/1/2012 5:00,-598,-1073,-5,6,1053
1/1/2012 6:00,-941,-1170,1,-70,1268
1/1/2012 7:00,-1033,-1169,-75,-78,1193
1/1/2012 8:00,-793,-1090,-44,-46,1227
1/1/2012 9:00,-768,-1316,-40,-47,1151
1/1/2012 10:00,-839,-1439,-79,-83,388
1/1/2012 11:00,-720,-1494,-41,-77,226
1/1/2012 12:00,-792,-1535,-71,-72,198
1/1/2012 13:00,-808,-1500,13,-116,187
1/1/2012 14:00,-688,-1550,-8,-80,151
1/1/2012 15:00,-835,-1515,-21,-110,531
1/1/2012 16:00,-865,-1440,-39,-11,1217
1/1/2012 17:00,-682,-1665,12,-39,1253
1/1/2012 18:00,-914,-1529,-40,30,873
1/1/2012 19:00,-1019,-1323,-34,-46,1021
1/1/2012 20:00,-982,-1323,-36,43,1250
1/1/2012 21:00,-893,-1376,18,14,871
1/1/2012 22:00,-720,-1241,-62,65,370
1/1/2012 23:00,-813,-1260,38,-60,792
1/2/2012 0:00,-979,-1091,8,-90,1148
1/2/2012 1:00,-878,-1181,38,8,611
1/2/2012 2:00,-945,-1051,79,-75,841
1/2/2012 3:00,-1035,-1012,77,-50,540
1/2/2012 4:00,-944,-1153,81,-126,913
1/2/2012 5:00,-752,-1305,46,-46,1186
1/2/2012 6:00,-784,-1313,-11,-71,1290
1/2/2012 7:00,-947,-1363,-60,-74,1301
1/2/2012 8:00,-968,-1243,-87,-72,1264
1/2/2012 9:00,-868,-1322,-39,-64,1198
1/2/2012 10:00,-947,-1306,-38,-46,1039
1/2/2012 11:00,-1014,-1240,-36,64,993
1/2/2012 12:00,-1073,-1254,14,-26,659
1/2/2012 13:00,-995,-1249,-4,66,578
1/2/2012 14:00,-937,-1449,-4,77,466
1/2/2012 15:00,-805,-1616,-5,52,530
1/2/2012 16:00,-770,-1614,9,137,1079
1/2/2012 17:00,-890,-1611,13,32,1014
1/2/2012 18:00,-888,-1386,-36,16,1108
1/2/2012 19:00,-848,-1381,9,-16,921
1/2/2012 20:00,-857,-1529,-47,-54,1168
1/2/2012 21:00,-692,-1536,-87,-12,354
1/2/2012 22:00,-702,-1219,-82,31,84
1/2/2012 23:00,-755,-1321,-46,43,465
1/3/2012 0:00,-938,-1265,30,-5,105
1/3/2012 1:00,-774,-1281,82,-149,458
1/3/2012 2:00,-786,-1274,20,-116,442
1/3/2012 3:00,-902,-1167,77,-148,471
1/3/2012 4:00,-883,-1206,3,-87,680
1/3/2012 5:00,-853,-1161,75,-122,457
1/3/2012 6:00,-860,-1197,-32,-70,299
1/3/2012 7:00,-970,-1264,-9,50,516
1/3/2012 8:00,-1130,-1110,-7,4,571
1/3/2012 9:00,-917,-1452,-60,0,558
1/3/2012 10:00,-953,-1436,-25,-10,82
1/3/2012 11:00,-825,-1458,-21,-4,220
1/3/2012 12:00,-925,-1339,1,-26,223
1/3/2012 13:00,-977,-1365,-35,-16,-146
1/3/2012 14:00,-1076,-1351,-17,-88,-336
1/3/2012 15:00,-1146,-1194,-4,-74,332
1/3/2012 16:00,-923,-1240,55,-133,796
1/3/2012 17:00,-912,-1281,4,-110,594
1/3/2012 18:00,-774,-1509,-103,-96,168
1/3/2012 19:00,-759,-1576,-65,-96,-560
1/3/2012 20:00,-659,-1623,-46,-76,-570
1/3/2012 21:00,-823,-1423,-8,-138,-601
1/3/2012 22:00,-826,-1214,22,-152,-283
1/3/2012 23:00,-646,-1387,28,-174,-708
1/4/2012 0:00,-688,-1265,56,-143,-786
1/4/2012 1:00,-788,-1292,77,-164,-715
1/4/2012 2:00,-855,-1258,76,-122,-243
1/4/2012 3:00,-681,-1327,39,-114,83
1/4/2012 4:00,-696,-1357,78,-185,123
1/4/2012 5:00,-753,-1216,40,-195,533
1/4/2012 6:00,-1053,-992,78,-203,505
1/4/2012 7:00,-975,-1245,73,-195,114
1/4/2012 8:00,-828,-1289,77,-192,174
1/4/2012 9:00,-798,-1444,9,-136,-200
1/4/2012 10:00,-750,-1544,-5,-108,-348
1/4/2012 11:00,-657,-1663,-2,-122,-806
1/4/2012 12:00,-740,-1582,3,-134,-986
1/4/2012 13:00,-1004,-1407,-2,-136,-827
1/4/2012 14:00,-1134,-1199,-1,-93,-687
1/4/2012 15:00,-1161,-1222,-1,-89,-785
1/4/2012 16:00,-952,-1397,3,-123,-982
1/4/2012 17:00,-924,-1495,0,-139,-824
1/4/2012 18:00,-1001,-1278,-5,-149,-996
1/4/2012 19:00,-1042,-1207,-18,-140,-744
1/4/2012 20:00,-962,-1308,-36,-100,-992
1/4/2012 21:00,-1023,-1314,-35,-101,-1149
1/4/2012 22:00,-889,-1077,-35,-100,-198
1/4/2012 23:00,-766,-1128,-36,-98,233
1/5/2012 0:00,-666,-1359,-38,-102,-563
1/5/2012 1:00,-859,-1249,-37,-100,-1283
1/5/2012 2:00,-988,-1074,-48,-92,-1206
1/5/2012 3:00,-976,-1019,-41,-106,-961
1/5/2012 4:00,-980,-1017,-38,-104,-425
1/5/2012 5:00,-819,-1296,-40,-94,-619
1/5/2012 6:00,-647,-1300,-46,-106,-398
1/5/2012 7:00,-932,-1002,-41,-116,-491
1/5/2012 8:00,-826,-1160,-18,-141,-667
1/5/2012 9:00,-1067,-966,4,-126,-625
1/5/2012 10:00,-1105,-925,-36,-97,-375
1/5/2012 11:00,-1132,-1013,2,-130,-408
1/5/2012 12:00,-1007,-1113,2,-134,-303
1/5/2012 13:00,-941,-1211,5,-126,-365
1/5/2012 14:00,-933,-1189,-1,-147,-349
1/5/2012 15:00,-883,-1011,-1,-153,552
1/5/2012 16:00,-784,-1130,1,-84,1087
1/5/2012 17:00,-833,-1123,-2,-26,1125
1/5/2012 18:00,-990,-1271,-19,-25,1110
1/5/2012 19:00,-894,-1084,-55,-65,687
1/5/2012 20:00,-805,-1083,-37,-82,1091
1/5/2012 21:00,-960,-1298,-23,-122,516
1/5/2012 22:00,-834,-1076,-43,-76,108
1/5/2012 23:00,-839,-1209,-17,-122,-86
1/6/2012 0:00,-801,-1206,-39,-84,-191
1/6/2012 1:00,-805,-1303,-31,-18,-484
1/6/2012 2:00,-810,-1188,39,-78,-138
1/6/2012 3:00,-815,-1314,81,-114,429
1/6/2012 4:00,-857,-1231,6,-75,567
1/6/2012 5:00,-932,-1147,65,-112,659
1/6/2012 6:00,-975,-1020,82,-114,579
1/6/2012 7:00,-1052,-1203,54,-14,776
1/6/2012 8:00,-1045,-1354,-42,-20,768
1/6/2012 9:00,-952,-1399,-30,-30,695
1/6/2012 10:00,-811,-1457,-1,-68,677
1/6/2012 11:00,-918,-1341,-28,-32,1076
1/6/2012 12:00,-997,-1300,-33,-48,896
1/6/2012 13:00,-1100,-1183,-32,-20,892
1/6/2012 14:00,-918,-1380,-4,-10,773
1/6/2012 15:00,-878,-1451,-5,-12,868
1/6/2012 16:00,-660,-1330,75,44,1163
1/6/2012 17:00,-942,-1454,33,-32,582
1/6/2012 18:00,-574,-1301,31,12,366
1/6/2012 19:00,-761,-1063,30,-28,540
1/6/2012 20:00,-942,-1010,30,6,936
1/6/2012 21:00,-1008,-1264,55,-9,1113
1/6/2012 22:00,-760,-1289,-34,11,686
1/6/2012 23:00,-651,-1391,1,23,276
1/7/2012 0:00,-592,-1475,4,-120,247
1/7/2012 1:00,-384,-1635,5,-130,280
1/7/2012 2:00,-241,-1591,-1,-118,398
