date,importexport_1 (MW),importexport_2 (MW),importexport_3 (MW),importexport_4 (MW),importexport_5 (MW)
1/7/2012 3:00,-173,-1519,-3,12,785
1/7/2012 4:00,-319,-1382,1,22,537
1/7/2012 5:00,-402,-1190,-38,33,669
1/7/2012 6:00,-560,-1129,0,1,782
1/7/2012 7:00,-694,-1068,-3,-6,777
1/7/2012 8:00,-901,-817,1,-96,1135
1/7/2012 9:00,-1053,-668,3,-96,975
1/7/2012 10:00,-854,-846,1,-70,1231
1/7/2012 11:00,-907,-1023,1,-66,1221
1/7/2012 12:00,-833,-1363,-1,-60,850
1/7/2012 13:00,-1056,-1092,-2,-18,253
1/7/2012 14:00,-927,-1463,4,-58,216
1/7/2012 15:00,-841,-1562,1,-127,654
1/7/2012 16:00,-781,-1502,-1,-144,883
1/7/2012 17:00,-660,-1644,1,-72,867
1/7/2012 18:00,-725,-1577,-28,-55,979
1/7/2012 19:00,-901,-1495,70,-194,231
1/7/2012 20:00,-913,-1445,57,-143,147
1/7/2012 21:00,-694,-1385,2,-16,-3
1/7/2012 22:00,-734,-1235,3,-94,687
1/7/2012 23:00,-842,-1267,1,-84,645
1/8/2012 0:00,-452,-1607,17,-59,458
1/8/2012 1:00,-504,-1271,-34,-36,865
1/8/2012 2:00,-448,-1125,-61,9,848
1/8/2012 3:00,-547,-1084,-83,-24,854
1/8/2012 4:00,-498,-960,-44,-26,909
1/8/2012 5:00,-567,-973,4,-144,862
1/8/2012 6:00,-475,-1079,-53,-76,115
1/8/2012 7:00,-425,-1094,-93,-60,52
1/8/2012 8:00,-508,-876,-66,-88,353
1/8/2012 9:00,-630,-779,-63,-68,302
1/8/2012 10:00,-937,-631,-68,-66,293
1/8/2012 11:00,-1060,-451,-93,-58,30
1/8/2012 12:00,-1003,-742,-88,-62,186
1/8/2012 13:00,-1063,-1228,-91,-48,-733
1/8/2012 14:00,-1015,-1408,-82,-54,-662
1/8/2012 15:00,-1087,-1235,-65,-71,-120
1/8/2012 16:00,-1050,-1243,-66,-72,-27
1/8/2012 17:00,-1040,-1350,-68,-76,-647
1/8/2012 18:00,-1168,-1191,-68,-56,-668
1/8/2012 19:00,-1140,-1159,-86,-56,-658
1/8/2012 20:00,-1062,-1197,-85,-12,-341
1/8/2012 21:00,-734,-1588,-96,-24,-658
1/8/2012 22:00,-483,-1587,-76,-32,-503
1/8/2012 23:00,-659,-1398,13,-141,-94
1/9/2012 0:00,-714,-864,32,-44,538
1/9/2012 1:00,-607,-875,29,-117,586
1/9/2012 2:00,-542,-930,47,-134,582
1/9/2012 3:00,-531,-932,22,-118,586
1/9/2012 4:00,-633,-886,78,-179,570
1/9/2012 5:00,-720,-775,38,-62,-44
1/9/2012 6:00,-718,-779,-24,-76,-419
1/9/2012 7:00,-845,-696,-60,-85,-265
1/9/2012 8:00,-720,-637,-62,-60,-653
1/9/2012 9:00,-750,-602,-66,-84,-875
1/9/2012 10:00,-845,-535,-65,-58,-727
1/9/2012 11:00,-916,-710,-90,-45,-1066
1/9/2012 12:00,-943,-1311,-48,-8,-1342
1/9/2012 13:00,-1060,-1209,0,-10,-1009
1/9/2012 14:00,-1042,-1032,-8,-14,-1399
1/9/2012 15:00,-1034,-994,4,-28,-1366
1/9/2012 16:00,-840,-1221,0,-44,-1273
1/9/2012 17:00,-941,-1372,-1,-39,-1369
1/9/2012 18:00,-832,-1501,-39,12,-1371
1/9/2012 19:00,-902,-1341,0,-6,-1405
1/9/2012 20:00,-734,-1451,1,-6,-1375
1/9/2012 21:00,-523,-1791,2,0,-1348
1/9/2012 22:00,-529,-1322,4,-92,-708
1/9/2012 23:00,-880,-1318,-1,46,-978
1/10/2012 0:00,-825,-1395,-56,74,-984
1/10/2012 1:00,-1075,-1458,-60,-56,-1039
1/10/2012 2:00,-1214,-1414,-63,-66,-1023
1/10/2012 3:00,-1136,-1577,-29,-89,-857
1/10/2012 4:00,-1086,-1534,-30,-76,-1041
1/10/2012 5:00,-1013,-1285,-34,-68,-938
1/10/2012 6:00,-937,-1001,-50,-97,-977
1/10/2012 7:00,-1133,-1034,-10,-18,-959
1/10/2012 8:00,-1100,-1202,-2,-2,-985
1/10/2012 9:00,-864,-1417,-8,-16,-362
1/10/2012 10:00,-1008,-1197,-5,-38,-121
1/10/2012 11:00,-1030,-1286,-47,-94,-1065
1/10/2012 12:00,-993,-1323,-79,-89,-1075
1/10/2012 13:00,-782,-983,-45,-102,-154
1/10/2012 14:00,-878,-1039,-80,-88,-418
1/10/2012 15:00,-780,-1573,-86,-125,-1346
1/10/2012 16:00,-769,-1495,-7,-147,-1320
1/10/2012 17:00,-588,-1495,-48,-54,-569
1/10/2012 18:00,-579,-1640,-47,-75,-505
1/10/2012 19:00,-1077,-1534,-54,-85,-1250
1/10/2012 20:00,-1329,-1367,-43,-108,-1326
1/10/2012 21:00,-1423,-1495,-43,-91,-1297
1/10/2012 22:00,-1393,-1223,20,-70,-638
1/10/2012 23:00,-1455,-1207,-48,63,-46
1/11/2012 0:00,-1536,-1161,-8,-76,485
1/11/2012 1:00,-1443,-1241,72,-112,548
1/11/2012 2:00,-1410,-1255,76,-137,694
1/11/2012 3:00,-1388,-1117,78,-126,619
1/11/2012 4:00,-1530,-1115,-8,-137,619
1/11/2012 5:00,-1467,-1207,23,-86,631
1/11/2012 6:00,-1611,-1103,45,-168,186
1/11/2012 7:00,-1646,-1348,30,-180,-726
1/11/2012 8:00,-1625,-1330,8,-182,-958
1/11/2012 9:00,-1376,-1266,-38,-128,-850
1/11/2012 10:00,-995,-1166,27,-172,-425
1/11/2012 11:00,-1045,-1216,30,-130,-197
1/11/2012 12:00,-1088,-1183,31,-152,-112
1/11/2012 13:00,-1043,-1180,49,-152,171
1/11/2012 14:00,-1114,-1169,59,-90,190
1/11/2012 15:00,-988,-1389,-76,-75,-23
1/11/2012 16:00,-805,-1447,-39,-134,-214
1/11/2012 17:00,-814,-1551,-38,-126,-885
1/11/2012 18:00,-824,-1426,-7,-60,-781
1/11/2012 19:00,-909,-1331,-37,-86,-418
1/11/2012 20:00,-887,-1324,-43,-100,3
1/11/2012 21:00,-854,-1305,1,-122,-12
1/11/2012 22:00,-713,-1292,54,-185,642
1/11/2012 23:00,-754,-1151,77,-78,651
1/12/2012 0:00,-1041,-977,-36,-12,1174
1/12/2012 1:00,-1015,-940,15,-44,1198
1/12/2012 2:00,-847,-1090,15,-46,1200
1/12/2012 3:00,-814,-1158,12,-69,1266
1/12/2012 4:00,-900,-1135,76,-16,1274
1/12/2012 5:00,-1048,-1019,79,-94,931
1/12/2012 6:00,-969,-1062,79,-58,520
1/12/2012 7:00,-946,-847,76,-128,135
1/12/2012 8:00,-1050,-877,38,-125,-98
1/12/2012 9:00,-947,-992,48,-112,-133
1/12/2012 10:00,-901,-1031,46,0,-755
1/12/2012 11:00,-1066,-1150,16,-10,-1102
1/12/2012 12:00,-866,-685,71,-132,-286
1/12/2012 13:00,-1038,-920,79,-78,-1244
1/12/2012 14:00,-817,-822,76,-72,-728
1/12/2012 15:00,-893,-937,78,-78,-776
1/12/2012 16:00,-923,-993,79,-92,-1543
1/12/2012 17:00,-738,-1065,-29,-134,-1494
1/12/2012 18:00,-881,-880,-4,-170,-1635
1/12/2012 19:00,-962,-956,8,-179,-1588
1/12/2012 20:00,-1210,-1107,26,-151,-1558
1/12/2012 21:00,-1056,-1230,77,-120,-1549
1/12/2012 22:00,-870,-1248,79,-112,-1405
1/12/2012 23:00,-920,-1311,80,-64,-1169
1/13/2012 0:00,-1295,-1385,66,-22,-927
1/13/2012 1:00,-1405,-1327,47,-56,-430
1/13/2012 2:00,-1331,-1384,57,-66,95
1/13/2012 3:00,-1327,-1411,79,-107,-355
1/13/2012 4:00,-1405,-1296,74,16,-578
1/13/2012 5:00,-1288,-1195,-37,-56,-385
1/13/2012 6:00,-1323,-1020,14,-124,-744
1/13/2012 7:00,-1117,-928,-46,-86,-870
1/13/2012 8:00,-948,-1024,-24,8,-848
1/13/2012 9:00,-862,-1128,-9,-86,-1135
1/13/2012 10:00,-992,-1064,51,-90,-1317
1/13/2012 11:00,-1170,-810,7,-37,-1376
1/13/2012 12:00,-1343,-1168,-43,-62,-1233
1/13/2012 13:00,-1522,-1293,44,-10,-1070
1/13/2012 14:00,-1503,-1393,78,-40,-1230
1/13/2012 15:00,-1368,-1418,72,-40,-1126
1/13/2012 16:00,-1070,-1568,-4,-34,-1293
1/13/2012 17:00,-1326,-1379,-7,-48,-1228
1/13/2012 18:00,-1029,-1074,49,28,-781
1/13/2012 19:00,-1073,-1380,55,-24,-965
1/13/2012 20:00,-1220,-1569,49,-42,-1186
1/13/2012 21:00,-1219,-1710,-3,-28,-1255
1/13/2012 22:00,-1352,-1327,-32,-30,-1196
1/13/2012 23:00,-1417,-1075,-38,56,-1243
1/14/2012 0:00,-1511,-1218,-17,41,-589
1/14/2012 1:00,-1464,-1278,-34,76,-556
1/14/2012 2:00,-1241,-1348,-15,77,-664
1/14/2012 3:00,-1224,-1387,3,80,-976
1/14/2012 4:00,-1318,-1420,-54,83,-929
1/14/2012 5:00,-1267,-1418,-71,70,-755
1/14/2012 6:00,-963,-853,-15,137,301
1/14/2012 7:00,-1203,-859,50,150,994
1/14/2012 8:00,-1334,-976,58,148,1059
1/14/2012 9:00,-931,-485,56,179,1152
1/14/2012 10:00,-777,-464,4,203,1116
1/14/2012 11:00,-1040,-597,82,156,945
1/14/2012 12:00,-1345,-780,7,113,522
1/14/2012 13:00,-1189,-1445,-38,14,-468
1/14/2012 14:00,-944,-1480,-34,10,-567
1/14/2012 15:00,-935,-1427,0,-6,25
1/14/2012 16:00,-612,-1198,74,119,496
1/14/2012 17:00,-582,-1165,38,173,373
1/14/2012 18:00,-717,-1198,37,179,514
1/14/2012 19:00,-689,-1139,40,199,798
1/14/2012 20:00,-1010,-1334,53,163,833
1/14/2012 21:00,-1142,-1547,63,28,509
1/14/2012 22:00,-919,-1432,16,5,377
1/14/2012 23:00,-1195,-1277,2,68,-416
1/15/2012 0:00,-980,-1438,74,146,496
1/15/2012 1:00,-1301,-1308,62,87,1012
1/15/2012 2:00,-1210,-1297,79,142,871
1/15/2012 3:00,-1154,-1233,80,94,1064
1/15/2012 4:00,-1167,-1236,5,92,753
1/15/2012 5:00,-1089,-1444,-3,81,999
1/15/2012 6:00,-1200,-1274,-1,170,1504
1/15/2012 7:00,-1229,-684,81,108,1433
1/15/2012 8:00,-1305,-752,80,105,1462
1/15/2012 9:00,-1475,-1269,-9,38,804
1/15/2012 10:00,-1573,-1232,-3,117,821
1/15/2012 11:00,-1479,-1407,-34,15,491
1/15/2012 12:00,-1223,-1461,-3,-5,195
1/15/2012 13:00,-1309,-1291,36,-5,139
1/15/2012 14:00,-1572,-1163,77,53,370
1/15/2012 15:00,-1536,-1131,73,95,189
1/15/2012 16:00,-824,-657,42,105,1006
1/15/2012 17:00,-513,-707,6,138,637
1/15/2012 18:00,-492,-540,-35,-31,982
1/15/2012 19:00,-256,-545,-37,-155,909
1/15/2012 20:00,-706,-608,-37,-142,1086
1/15/2012 21:00,-1066,-1023,-70,-70,319
1/15/2012 22:00,-1214,-1251,-2,-6,34
1/15/2012 23:00,-1251,-1215,41,88,-318
1/16/2012 0:00,-1289,-1218,5,95,-328
1/16/2012 1:00,-1181,-1232,5,77,-377
1/16/2012 2:00,-1126,-1309,-2,82,-404
1/16/2012 3:00,-1155,-1307,0,88,-291
1/16/2012 4:00,-1112,-1301,6,76,48
1/16/2012 5:00,-1192,-1233,0,76,-163
1/16/2012 6:00,-1266,-1043,1,215,685
1/16/2012 7:00,-935,-1145,-2,195,421
1/16/2012 8:00,-935,-1079,-2,175,235
1/16/2012 9:00,-1089,-1337,1,32,-208
1/16/2012 10:00,-1074,-1353,-3,-2,-110
1/16/2012 11:00,-878,-1598,-38,6,-434
1/16/2012 12:00,-823,-1646,-39,1,-823
1/16/2012 13:00,-717,-1566,-41,-2,-775
1/16/2012 14:00,-937,-1198,-64,-46,-1078
1/16/2012 15:00,-1075,-1184,-21,-150,-1103
1/16/2012 16:00,-959,-1309,-38,-148,-704
1/16/2012 17:00,-912,-1214,-89,30,-452
1/16/2012 18:00,-1037,-1408,-106,88,-540
1/16/2012 19:00,-951,-1501,-98,-30,-439
1/16/2012 20:00,-1108,-1409,-109,-52,-178
1/16/2012 21:00,-921,-1304,-108,-40,-505
1/16/2012 22:00,-1020,-1077,-87,-28,-475
1/16/2012 23:00,-876,-1360,-106,-4,-618
1/17/2012 0:00,-821,-1354,-125,38,-1238
1/17/2012 1:00,-866,-1429,-79,1,-1379
1/17/2012 2:00,-1012,-1242,-73,-62,-1250
1/17/2012 3:00,-985,-1271,-88,26,-1083
1/17/2012 4:00,-978,-1249,-105,3,-698
1/17/2012 5:00,-1088,-1074,-98,16,-622
1/17/2012 6:00,-1189,-946,-74,-98,-732
1/17/2012 7:00,-1113,-1127,-83,21,-445
1/17/2012 8:00,-1052,-1389,-104,-70,-710
1/17/2012 9:00,-1003,-1422,-105,-39,-966
1/17/2012 10:00,-852,-1625,-77,-3,-1157
1/17/2012 11:00,-842,-1593,-81,-5,-753
1/17/2012 12:00,-850,-1507,-75,7,-1036
1/17/2012 13:00,-1092,-1366,-125,-7,-728
1/17/2012 14:00,-1177,-1407,-118,-48,-427
1/17/2012 15:00,-964,-1555,-120,-7,-538
1/17/2012 16:00,-906,-1385,-21,-78,-720
1/17/2012 17:00,-931,-1523,-70,0,-523
1/17/2012 18:00,-1049,-1495,-78,4,-504
1/17/2012 19:00,-1056,-1431,-79,0,-254
1/17/2012 20:00,-1021,-1462,-90,12,-629
1/17/2012 21:00,-899,-1580,-116,9,-314
1/17/2012 22:00,-852,-1243,-94,-34,95
1/17/2012 23:00,-1108,-1092,-117,60,125
1/18/2012 0:00,-1056,-1147,-107,44,573
1/18/2012 1:00,-1103,-1168,-71,-49,829
1/18/2012 2:00,-1063,-1104,-12,22,886
1/18/2012 3:00,-1184,-965,-83,-26,871
1/18/2012 4:00,-1223,-993,69,-122,487
1/18/2012 5:00,-1168,-1068,-60,-94,366
1/18/2012 6:00,-1167,-1056,-10,-92,154
1/18/2012 7:00,-1202,-1290,-85,-58,-451
1/18/2012 8:00,-1125,-1276,-84,-36,-612
1/18/2012 9:00,-1209,-1239,-84,6,-687
1/18/2012 10:00,-1041,-1356,-84,42,-937
1/18/2012 11:00,-904,-1588,-108,33,-1026
1/18/2012 12:00,-756,-1720,-63,37,-803
1/18/2012 13:00,-948,-1514,-92,-51,-984
1/18/2012 14:00,-1032,-1502,-32,-126,-834
1/18/2012 15:00,-885,-1474,-59,-56,-1138
1/18/2012 16:00,-961,-1482,-59,-68,-1151
1/18/2012 17:00,-1090,-1452,-86,-36,-1221
1/18/2012 18:00,-1248,-1332,-126,14,-1250
1/18/2012 19:00,-1223,-1262,-96,-48,-1255
1/18/2012 20:00,-1229,-1252,-86,-12,-1254
1/18/2012 21:00,-1137,-1364,-97,3,-1187
1/18/2012 22:00,-1003,-1176,-4,-92,-1079
1/18/2012 23:00,-977,-1197,-71,-60,-439
1/19/2012 0:00,-958,-1302,-66,-78,270
1/19/2012 1:00,-869,-1344,-43,-50,447
1/19/2012 2:00,-975,-1240,-39,-46,647
1/19/2012 3:00,-906,-1270,-43,-91,728
1/19/2012 4:00,-868,-1297,0,-70,397
1/19/2012 5:00,-1003,-1199,-42,-90,184
1/19/2012 6:00,-1067,-1117,-85,-50,-621
1/19/2012 7:00,-1152,-1228,-88,-16,-1013
1/19/2012 8:00,-1163,-1290,-86,-46,-844
1/19/2012 9:00,-1110,-1334,-113,-52,-230
1/19/2012 10:00,-858,-1626,-105,26,-441
1/19/2012 11:00,-1042,-1450,5,34,-425
1/19/2012 12:00,-955,-1376,12,8,90
1/19/2012 13:00,-916,-1520,70,20,52
1/19/2012 14:00,-894,-1496,79,3,204
1/19/2012 15:00,-1033,-1447,-62,-58,238
1/19/2012 16:00,-1020,-1454,-2,-142,-252
1/19/2012 17:00,-961,-1522,-47,-100,-617
1/19/2012 18:00,-1000,-1494,-16,-119,-674
1/19/2012 19:00,-1047,-1415,-113,-28,-771
1/19/2012 20:00,-1034,-1435,-86,-64,-492
1/19/2012 21:00,-1075,-1297,-29,-112,-92
1/19/2012 22:00,-982,-1227,-61,-88,153
1/19/2012 23:00,-907,-1280,11,-152,584
1/20/2012 0:00,-950,-1391,33,-161,564
1/20/2012 1:00,-853,-1328,47,-171,811
1/20/2012 2:00,-818,-1305,47,-165,810
1/20/2012 3:00,-840,-1336,-9,-99,807
1/20/2012 4:00,-843,-1362,-13,-87,813
1/20/2012 5:00,-811,-1409,-62,-26,813
1/20/2012 6:00,-1179,-989,-62,-6,734
1/20/2012 7:00,-1181,-1036,-59,-40,243
1/20/2012 8:00,-1089,-1119,-7,-130,130
1/20/2012 9:00,-897,-1093,-42,-64,-263
1/20/2012 10:00,-1030,-762,-27,-63,64
1/20/2012 11:00,-1134,-857,-44,-52,85
1/20/2012 12:00,-1032,-1220,23,-127,-821
1/20/2012 13:00,-973,-1202,29,-124,-332
1/20/2012 14:00,-903,-1186,-27,-76,-209
1/20/2012 15:00,-947,-1423,-7,-120,-634
1/20/2012 16:00,-940,-1256,-12,-118,-1070
1/20/2012 17:00,-889,-1338,-68,-78,-1236
1/20/2012 18:00,-766,-1388,-69,-71,-1293
1/20/2012 19:00,-878,-1198,-78,-60,-1203
1/20/2012 20:00,-739,-1032,-44,-72,-1090
1/20/2012 21:00,-840,-955,-41,-64,-1211
1/20/2012 22:00,-940,-1133,5,-81,-1308
1/20/2012 23:00,-900,-1173,10,-141,-1279
1/21/2012 0:00,-937,-1153,-40,-111,-883
1/21/2012 1:00,-813,-1303,-58,-80,-540
1/21/2012 2:00,-814,-1341,-59,-82,-370
1/21/2012 3:00,-776,-1424,-66,-68,-567
1/21/2012 4:00,-733,-1482,-73,-75,-908
1/21/2012 5:00,-916,-1326,-75,-72,-1186
1/21/2012 6:00,-1033,-1168,-79,-54,-1240
1/21/2012 7:00,-992,-943,-94,-38,-1272
1/21/2012 8:00,-1093,-903,-96,-50,-1268
1/21/2012 9:00,-1014,-966,-94,-86,-1268
1/21/2012 10:00,-906,-1017,-55,-99,-1245
1/21/2012 11:00,-535,-646,-98,66,-235
1/21/2012 12:00,-867,-860,-96,-68,-714
1/21/2012 13:00,-1133,-1160,-87,-106,-1146
1/21/2012 14:00,-1108,-1201,-106,-49,-1263
1/21/2012 15:00,-913,-862,-88,-72,-1251
1/21/2012 16:00,-395,-664,-28,26,-957
1/21/2012 17:00,-148,-1000,-32,28,-1312
1/21/2012 18:00,-249,-1093,-122,12,-1325
1/21/2012 19:00,-134,-996,-78,16,-1262
1/21/2012 20:00,-187,-894,-77,-7,-1263
1/21/2012 21:00,-235,-985,-8,58,-1248
1/21/2012 22:00,-70,-969,-16,86,-1028
1/21/2012 23:00,-577,-1144,-43,42,-1316
1/22/2012 0:00,-748,-1233,-93,-62,-1278
1/22/2012 1:00,-754,-1413,-18,-134,-1281
1/22/2012 2:00,-827,-1358,-64,-92,-1292
1/22/2012 3:00,-1058,-1239,-129,31,-1297
1/22/2012 4:00,-969,-1083,-81,51,-1099
1/22/2012 5:00,-1010,-1040,-81,45,-1233
1/22/2012 6:00,-931,-617,-2,-5,-1096
1/22/2012 7:00,-1042,-695,-50,11,-1468
1/22/2012 8:00,-695,-936,-90,13,-1250
1/22/2012 9:00,-694,-883,-81,12,-794
1/22/2012 10:00,-1053,-900,-98,-42,-1193
1/22/2012 11:00,-1073,-885,-83,-80,-1407
1/22/2012 12:00,-994,-1077,-85,-84,-1452
1/22/2012 13:00,-1020,-1025,-82,-78,-1471
1/22/2012 14:00,-722,-849,-6,-16,-1477
1/22/2012 15:00,-578,-818,-65,11,-1316
1/22/2012 16:00,-352,-600,-76,9,-1137
1/22/2012 17:00,-153,-709,-81,11,-1223
1/22/2012 18:00,-136,-781,-78,-13,-1176
1/22/2012 19:00,-215,-649,-77,15,-866
1/22/2012 20:00,-572,-631,-101,-42,-884
